shipment_id,duration_seconds,distance_meters
SHP_984,91800.3,2177622.3
SHP_986,2436.2,46215.1
SHP_988,172598.9,4389538.0
SHP_993,86023.2,2043619.4
SHP_995,90027.8,2145906.3
SHP_1000,76755.0,1882879.8
SHP_1001,16208.5,379319.8
SHP_1002,173332.2,4406048.5
SHP_1003,79811.4,1949166.8
SHP_1005,850.7,13300.6
SHP_1006,16208.5,379319.8
SHP_1009,212111.7,5332340.0
SHP_1011,67489.4,1571522.8
SHP_1013,60982.0,1444603.0
SHP_1016,208895.2,5260896.0
SHP_1017,92107.6,2210788.3
SHP_1019,149982.6,3815138.5
SHP_1020,173350.7,4401299.5
SHP_1021,83863.0,1986706.1
SHP_1024,86123.5,2048434.8
SHP_1025,103659.2,2423056.0
SHP_1028,1680.4,23401.0
SHP_1029,92206.9,2213339.8
SHP_1030,208393.5,5253315.5
SHP_1033,181231.2,4519624.5
SHP_1035,19297.1,459716.3
SHP_1038,45397.0,1104077.1
SHP_1044,95209.9,2300222.3
SHP_1045,174990.6,4429739.0
SHP_1049,84101.7,1989199.0
SHP_1051,208895.2,5260896.0
SHP_1053,56238.0,1348214.0
SHP_1054,192072.0,4765440.0
SHP_1059,148378.2,3781990.5
SHP_1060,163184.6,4060905.3
SHP_1062,1517.9,21515.9
SHP_1063,88487.9,2154792.3
SHP_1066,197105.8,4994674.5
SHP_1067,53526.8,1277554.3
SHP_1068,87909.4,2132194.3
SHP_1069,173286.6,4402059.0
SHP_1071,102169.1,2387835.5
SHP_1072,209335.5,5268576.5
SHP_1074,95096.0,2295771.3
SHP_1076,108242.6,2638298.0
SHP_1078,87506.2,2127632.3
SHP_1080,166892.7,4256029.0
SHP_1083,77770.1,1822772.1
SHP_1086,89586.4,2162263.3
SHP_1087,93638.1,2215225.3
SHP_1090,167851.8,4269894.5
SHP_1092,64599.2,1548719.8
SHP_1093,87909.4,2132194.3
SHP_1094,148761.3,3789963.8
SHP_1098,90618.1,2153724.3
SHP_1099,43637.8,1065627.0
SHP_1100,87529.1,2066038.9
SHP_1106,133729.2,3312231.0
SHP_1108,43048.8,1056362.3
SHP_1109,87605.6,2124796.8
SHP_1112,92448.8,2186890.5
SHP_1114,194257.2,4924571.0
SHP_1116,95447.1,2240486.0
SHP_1118,91819.6,2207933.3
SHP_1119,150509.2,3833237.3
SHP_1123,172347.8,4376207.0
SHP_1124,171839.6,4371806.5
SHP_1127,42162.1,1036085.4
SHP_1128,79749.0,1945408.1
SHP_1134,177190.8,4497453.5
SHP_1135,72253.4,1746346.0
SHP_1139,87909.4,2132194.3
SHP_1145,208315.9,5250027.5
SHP_1146,87679.4,2129949.5
SHP_1149,72945.9,1751162.6
SHP_1150,194384.8,4845698.0
SHP_1151,79794.6,1895190.3
SHP_1152,170573.0,4337416.0
SHP_1154,173535.8,4411756.5
SHP_1156,45054.1,1099022.0
SHP_1157,214878.6,5328847.5
SHP_1158,86282.3,2050475.4
SHP_1160,79749.0,1945408.1
SHP_1162,86023.2,2043619.4
SHP_1166,173191.2,4401193.5
SHP_1167,91725.5,2175611.8
SHP_1169,72012.2,1683790.8
SHP_1172,177402.6,4497889.5
